S.No,NAME,Department,GENDER,YEAR,Route  2 - VADAVALLI (AC BUS)
1,ab,CSE,Female,I Year (2022 - 26),Lali road (bus stop)
2,cd,Architecture,Male,I Year (2022 - 26),Lali road (bus stop)
3,ab,Architecture,Female,I Year (2022 - 26),Pnputhur (bus stop)
4,cd,CS & BS,Female,I Year (2022 - 26),Pnputhur (bus stop)
5,ab,EEE,Male,I Year (2022 - 26),Saibaba Colony (New KVB bank)
6,cd,MECH,Male,I Year (2022 - 26),Saibaba Colony (New KVB bank)
7,ab,Architecture,Male,I Year (2022 - 26),Saibaba Colony (New KVB bank)
8,cd,MECH,Female,I Year (2022 - 26),Saibaba Colony (New KVB bank)
9,ab,CSBS,Male,I Year (2022 - 26),Saibaba Colony (New KVB bank)
10,cd,ECE,Female,I Year (2022 - 26),Saibaba Kovil (Opposite to Annaimalai showroom)
11,ab,CS & BS,Female,I Year (2022 - 26),Saibaba Kovil (Opposite to Annaimalai showroom)
12,cd,CSE,Female,I Year (2022 - 26),Saibaba Kovil (Opposite to Annaimalai showroom)
13,ab,Civil,Male,I Year (2022 - 26),Vadavalli (Roundana )
14,cd,MECH,Male,I Year (2022 - 26),Vadavalli (Roundana )
15,ab,AI & DS,Female,I Year (2022 - 26),Vadavalli (Roundana )
16,cd,Architecture,Female,I Year (2022 - 26),Vadavalli (Roundana )
17,ab,EEE,Male,II Year (2021 - 25),Lali road (bus stop)
18,cd,Architecture,Female,II Year (2021 - 25),Lali road (bus stop)
19,ab,EEE,Male,II Year (2021 - 25),Pnputhur (bus stop)
20,cd,ECE,Male,II Year (2021 - 25),Saibaba Colony (New KVB bank)
21,ab,EEE,Female,II Year (2021 - 25),Saibaba Colony (New KVB bank)
22,cd,ECE,Male,II Year (2021 - 25),Saibaba Colony (New KVB bank)
23,ab,EEE,Female,II Year (2021 - 25),Saibaba Colony (New KVB bank)
24,cd,MECH,Male,II Year (2021 - 25),Saibaba Colony (New KVB bank)
25,ab,EEE,Female,II Year (2021 - 25),Saibaba Colony (New KVB bank)
26,cd,ECE,Male,II Year (2021 - 25),Saibaba Colony (New KVB bank)
27,ab,ECE,Male,II Year (2021 - 25),Saibaba Colony (New KVB bank)
28,cd,EEE,Female,II Year (2021 - 25),Saibaba Colony (New KVB bank)
29,ab,MECH,Male,II Year (2021 - 25),Saibaba Colony (New KVB bank)
30,cd,MECH,Male,II Year (2021 - 25),Saibaba Colony (New KVB bank)
31,ab,Architecture,Female,II Year (2021 - 25),Saibaba Colony (New KVB bank)
32,cd,Civil,Female,II Year (2021 - 25),SaibabaKovil (Opposite to Annaimalai showroom)
33,ab,Civil,Female,II Year (2021 - 25),Vadavalli (Roundana )
34,cd,Architecture,Female,II Year (2021 - 25),Vadavalli (Roundana )
35,ab,MECH,Male,II Year (2021 - 25),Vadavalli (Roundana )
36,cd,Civil,Female,III Year (2020 - 24),Lali road (bus stop)
37,ab,MECH,Male,III Year (2020 - 24),Pnputhur (bus stop)
38,cd,ECE,Female,III Year (2020 - 24),Saibaba Colony (New KVB bank)
39,ab,CSE,Female,III Year (2020 - 24),Saibaba Colony (New KVB bank)
40,cd,EEE,Male,III Year (2020 - 24),Saibaba Colony (New KVB bank)
41,ab,ECE,Male,III Year (2020 - 24),Vadavalli (Roundana )
42,cd,Civil,Male,III Year (2020 - 24),Vadavalli (Roundana )
43,ab,MECH,Male,III Year (2020 - 24),Vadavalli (Roundana )
44,cd,CSE,Female,III Year (2020 - 24),Vadavalli (Roundana )
45,ab,ECE,Male,IV Year (2019 - 23),Kalyan Silks  (100 feet road)
46,cd,ECE,Female,IV Year (2019 - 23),Saibaba Colony (New KVB bank)
47,ab,MECH,Male,IV Year (2019 - 23),Saibaba Colony (New KVB bank)
48,cd,CSE,Male,IV Year (2019 - 23),Saibaba Colony (New KVB bank)
49,ab,ECE,Female,IV Year (2019 - 23),SaibabaKovil (Opposite to Annaimalai showroom)
