S.No,NAME,Department,GENDER,YEAR,Route 5 - TIRUPPUR
1,ab,CSE,Female,I Year (2022 - 26),New bus stand
2,cd,Architecture,Female,I Year (2022 - 26),New bus stand
3,ab,Architecture,Female,I Year (2022 - 26),New bus stand
4,cd,ECE,Female,I Year (2022 - 26),Old bus stand
5,ab,CS & BS,Female,I Year (2022 - 26),Old bus stand
6,cd,EEE,Female,I Year (2022 - 26),Palladam
7,ab,MECH,Female,I Year (2022 - 26),Palladam
8,cd,EEE,Male,I Year (2022 - 26),Palladam
9,ab,MECH,Male,I Year (2022 - 26),Sulur
10,cd,ECE,Female,I Year (2022 - 26),Sulur
11,ab,MECH,Male,I Year (2022 - 26),Sulur
12,cd,Civil,Female,II Year (2021 - 25),New bus stand
13,ab,ECE,Female,II Year (2021 - 25),New bus stand
14,cd,CSE,Female,II Year (2021 - 25),Sulur
15,ab,ECE,Female,II Year (2021 - 25),Sulur
16,cd,ECE,Female,II Year (2021 - 25),Sulur
17,ab,CSE,Female,III Year (2020 - 24),Sulur
